rating,review
3 stars: Average,"<p class=""review-content__text"">
                I have been using rebtel for over a year. Good but all of a sudden there is 60% increase in prices without notification. Now I'll have to look for alternatives.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                It's cost effective and good value for money.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Rebtel is the easy way and super cool to use when calling abroad.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Cheap and easy to use. Very reliable. Also bonus for referrals
            </p>"
4 stars: Great,"<p class=""review-content__text"">
                Very clear  voice, <br>Sometimes  a lil bit tricky to connect the local green number, but overall, 4.5 *.. good job rebtel
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Cost effective and extreme Good Quality calls. Worth it!!
            </p>"
2 stars: Poor,"<p class=""review-content__text"">
                Call quality generally good but...<br>Call rate charging incorrect. Calling to Zambia both to landlines and Mobile Rebtel charges the five times higher mobile rate for landlines.<br>Be aware of this ....
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                This service works great. I use this company all the time to comunicate with my girlfriend in Cuba. I would fully recommend this company and there service to anyone who has loved ones overseas.
            </p>"
1 star: Bad,"<p class=""review-content__text"">
                The company is dishonest.  Even though the original fee is minimal, the calls must be reactivated from minute to minute after reloading. The fees are relatively high.  There are many bugs and problems
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                So far so good, used the free trial, and now am on Global monthly pay, only down side is their website, they do not have proper customer service, you have to email them and wait for a response, which is generally not straight to the point.It would have been netter if they  had an online chat. But also to mention i needed customer service only during the free trial, now its ok. One can cancel online the account at any time if they are not satisfied, thats a good thing.<br>Phone quality and connectivity to India is good. I am in the UK, and can also use it for local calls  too. Please note to use this service you should have local minutes too, otheerwise it will not work.
            </p>"
5 stars: Excellent,Very good application
1 star: Bad,"<p class=""review-content__text"">
                I had the rebtel app on my phone as I never used it I decided to quit, what is my surprise to see in my bank statement 6.00 euros, rebtel took it out without my authorization, I would like to have my money back
            </p>"
1 star: Bad,"<p class=""review-content__text"">
                Hello, I just bought credit yesterday twice rebtel has taken the money from my credit card, and till now i have not received my credits to make calls...am very disappointed i want my money back in my account...thanks.!!
            </p>"
4 stars: Great,"<p class=""review-content__text"">
                Good connection. Clear conversation and cost effective.<br>Generally good value for money.
            </p>"
4 stars: Great,"<p class=""review-content__text"">
                Good price, nice calling quality. It could be better to show recipient's number along with name in activity list to make it easy to choose calling number when a contact has multiple numbers.
            </p>"
4 stars: Great,"<p class=""review-content__text"">
                Needed to call overseas to a bank &amp; it worked! Great, especially if you have to wait for goodness knows how long through the call-centers... it could be $100+++ but instead you just pay a nice flat fee of $5 upfront (or something like that) :) My call did drop twice over wifi which was annoying but it could've been my own router &amp; overall it gets the job done very well...!!! Thanks a lot!!!
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                The Genuine app with ultimate features which you would love to have it.Once use it and you will come to know the charms and facilities.its very secure and safe and unique design aap which is giving us worldwide services.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Excellent service.good company for tele communication.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                This service is such a good way to communicate love ones that has no Internet connection in Philippine. So, I really want to recommend this to all! And thank you for your service.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                It's really an excellent app to talk about all over the world without the internet.
            </p>"
4 stars: Great,"<p class=""review-content__text"">
                I do not like the fact that my call start reading while it is still ringing. Eventually if the person doesn't pick that 45-50secs is wasted.
            </p>"
5 stars: Excellent,Just recommend
5 stars: Excellent,"<p class=""review-content__text"">
                REBTEL provides great service and support. you can trust REBTEL.
            </p>"
1 star: Bad,"<p class=""review-content__text"">
                Worst networt provider <br>I topped up with $10 and I still can't make calls instead that stupid voice prompt tell me to add another $10 are you'll trying to milk me or what
            </p>"
1 star: Bad,"<p class=""review-content__text"">
                If I there was an option to choose zero stars, that's what I would have chosen! The Cuba Welcome Offer 20 min is definitely a scam -DON'T FALL FOR IT! It shows in my account under ""Account Activity"" that I have paid the $5.00 charge for a 20-minute call to Cuba but then I can't use it!!! Every time I try to make a call to Cuba, I get the message 'You're out of credit""!!! And you can't get any Customer Support. I have sent 2 emails and no reply received. Absolutely no chance of talking to Customer Service or even just chatting with an agent!
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                $5 per monthfor unlimited calling to Israel. Wonderful!!!
            </p>"
4 stars: Great,"<p class=""review-content__text"">
                👍👍👍<br>Great application
            </p>"
3 stars: Average,"<p class=""review-content__text"">
                I've been using rebtel for close to year, its all good and everything but the quality of calls has started to drop. Its getting very very poor and a good amount of times the other person is just not audible.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                It’s very good
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                I like the experience of using Rebtel. I felt like I was using my usual option to make local calls. It is super easy to use!! Additionally, I was surprised to have unlimited calls to the United States free!!.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Good service and easy for me to call my family in the Philippines.
            </p>"
1 star: Bad,"<p class=""review-content__text"">
                I signed my Mom up so that she can call her family in Colombia after several failed attempts and extremely poor customer service, I deactivated Global Unlimited for $ 10 monthly before they actually charged. When I receive my Credit Card statement, I see six charges for $10 each plus my bank stated that Rebtel was trying to use my card for a purchase! Be careful they steal your card information. I wouldn’t trust them
            </p>"
3 stars: Average,"<p class=""review-content__text"">
                Seriously seriously call to Sierra Leone and gambia should be low And u guys just took my last money on my account because changed to new nomber
            </p>"
5 stars: Excellent,Good to use for international calling.
5 stars: Excellent,Quick cheap and easy
5 stars: Excellent,"<p class=""review-content__text"">
                My sister-in-law told me about this. It's so simple. You add what minutes you want and that's it. I don't have to pay a monthly service for international calls that I won't be using on a daily or even weekly basis. This gives me the freedom to control what minutes I use and I think that's what makes it a great service. The set up was simple to follow and the connection is great. I call American Samoa from this app. I am so glad I found it. Makes things so much simple.
            </p>"
3 stars: Average,"<p class=""review-content__text"">
                Since I started using Rebtel I had no issue . I could send credit to people back home , but the price went from 5$ to 19$ . It’s too much . And there no other option .
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Since I started using Rebtel, I really like it. I don’t lose any airtime from the last call to the next one. If my balance is $3, weeks later it will still be the sasame! My only problem is, if we could get more airtime for the money! <br>Overall, it’s a reliable company, and I recommend anyone looking for something new. It’s worth a try!
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                I am happy With this app very good
            </p>"
4 stars: Great,"<p class=""review-content__text"">
                Hello there, so far your service is great. Let us see if it will be the same in the next few days, hopefully. Honestly, I am not so happy with your website/page. I think you guys should hire a good programmer or developer. Your website is not friendly to use. I got a hard time loading my payment from your website. Fortunately, your customer support are very nice and they helped me in any way they can. They go far to solve my issues and they escalate my problem very quick. Thanks to Ryan he deserve a salary raise. Thank you!
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Need  cheaper  Nigeria  calling but its a great app
            </p>"
1 star: Bad,"<p class=""review-content__text"">
                Is bad that you guys could not extend your unlimited calling plan services to Africa. Not a single country in Africa is listed. Not good at all..
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                The App is good, but sometimes misbehave.  The call rate to Benin Republic should be reduced. Thank you.
            </p>"
5 stars: Excellent,Rebtel is a great application
1 star: Bad,"<p class=""review-content__text"">
                Since I  signed up , 3 wk3 ago has never made a single call. It is busy all the time..its scum look like
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Very simple app. Easy to subscribe and deactivate. No hassle. I tried calling Germany and the quality was good always. Didn’t try other countries.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Best👌❤❤👌👌👌👌❤👌👌👌👌❤
            </p>"
5 stars: Excellent,I  love rebtel is company you can tust
5 stars: Excellent,"<p class=""review-content__text"">
                Very good app for making international calls
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Quick, trusted and top quality service.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Very high quality calls...had no issues...Price is affordable and very easy to use...good thing about is...internet not needed for this call just need load on your phone and youre ready to call your loved ones with the push of the buttons and your connected right away....
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                So simple to set up &amp; the connection is always excellent!
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Quality services and clear calls from both ends. Very easy to use and straight to point.
            </p>"
5 stars: Excellent,Very clear network and coverage
5 stars: Excellent,"<p class=""review-content__text"">
                The fact that you can make unlimited calls to the country of your choice without the need of the internet is brilliant! The quality of the call is excellent and all for an extremely good price! Well pleased!
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Excellent operator<br>Sound quality excellent<br>Response to queries excellent as well
            </p>"
5 stars: Excellent,So nice lovely big thanks
5 stars: Excellent,"<p class=""review-content__text"">
                Does exactly what is supposed, cheap, reliable, excellent quality and with great support when needed. Thanks!
            </p>"
5 stars: Excellent,Amazing product
5 stars: Excellent,The best app so far
5 stars: Excellent,"<p class=""review-content__text"">
                The easiest way to call abroad. Extremely reasonable pricing.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Reliable product and excellent quality of service. I used the product 7 years ago and it never let down...
            </p>"
1 star: Bad,"<p class=""review-content__text"">
                After a month using Rebtel they increased the plan price by 50% of the value. It seems that they don’t have any number to call in the UK to solve situations. Customer service ZERO.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Very easy to use, good price and good service.
            </p>"
1 star: Bad,"<p class=""review-content__text"">
                Horrible   Could not even process a small top up order that NEVER went thru.  Was vert slow.  totally disappointed and frustrated
            </p>"
5 stars: Excellent,Good service
3 stars: Average,"<p class=""review-content__text"">
                Even though I still use rebel on emergency calls. I'm annoyed by the fact that they will call you from a cloned number of your contact when they want you to buy more credit. The first time they did it I fell for they trap and actually went and bought airtime to call my loved one who were shocked to hear I was calling to return their missed call. It was confusing until they actually did it on the different occasions when I was already on the phone with the number they had cloned. This a deceptive way of doing business.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                I love using Rebtel because I can talk to my family back home with no problem and its a good and honest one. I’ve been using it since 2013. What you put as money can stay there as long as you don’t use. <br>It’s a good one and I recommend
            </p>"
5 stars: Excellent,Great service five star for all
5 stars: Excellent,"<p class=""review-content__text"">
                very good and happy the way they dealing
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Easy to use, to the point, fast, realiable &amp; cheap! Occasional poor quality but usually great.
            </p>"
1 star: Bad,"<p class=""review-content__text"">
                Very unreliable and expensive compared to other services.
            </p>"
4 stars: Great,The line was so clear and easy access!
2 stars: Poor,"<p class=""review-content__text"">
                For those who wish to refer friends for the referral bonus should be alert.   <br>They add up the bonus with my previous top balance in a lump sum total.   However, when I tried to use it to buy the subscription, they told me the credit balance couldn't be transferred or converted into other subscription.  I asked for the reason since I couldn't see this condition display in the website.   It seems they gave me their internal document as I couldn't find any information in the help search either. I am not happy about this as there is no information clearly related to the invite friends until I asked about this.  Also, it limits our choice to use the credit balance as has been earned through referral business to Rebtel.  Rebtel should review on this.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Rebtel is great when you need to make casual or emergency calls.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Great call quality, stable connection and fair price!
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Love the ease of use and quality Rebtel offers
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Great way to keep in touch with family and friends that don't use the internet. Cheap and great quality.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Cheap, reliable and easy to use compare to other calling Apps. Excellent!
            </p>"
3 stars: Average,"<p class=""review-content__text"">
                Initial setup  a bit challenging, but seems to work okay now.<br>NO way to reach anybody at Rebtel by telephone for assistance. <br>You have to wait for an email response.
            </p>"
5 stars: Excellent,Ten out of ten
5 stars: Excellent,"<p class=""review-content__text"">
                Rebtel, in my short experience, is one of those companies where you are CERTAIN that a good deal of the time at business meetings is spent asking  how they can do even BETTER than 'Great!'. Everything is easy, logical, sensible, uncomplicated... the quality of the calls I've made has been like talking to someone next door, and the pricing seems reasonable and is very transparent. Everything about the site design and the app itself just is clean and basic but functionally attractive. ON THE OTHER HAND, stay MILES away from Tel3!! I'm just warning you, that site is deadly if you have a problem! Tech support on Rebtel is ridiculously friendly and even warm, very, very responsive and goes above and beyond. Thank you for Rebtel!
            </p>"
5 stars: Excellent,On top of their Game!
5 stars: Excellent,"<p class=""review-content__text"">
                Rebtel the best and the price for their service is unbeatable by far try them you may truly love`em!
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                I set this up for my mother to be able to call her family in Australia and she absolutely loves it. What she used to pay per hour on a calling card, she now pays per month for unlimited calls. How can you not give that 5 stars?!
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Rebtel  is Super easy to use, reliable, accessible, reasonable trust.
            </p>"
1 star: Bad,"<p class=""review-content__text"">
                Hello, I can call and hear very well with the app. But the another’s person can’t hear me at all. I tried more than 1 Different number. The microphone is allowed for the app but still when I call it show a picture of a microphone with a / . A press that and its the same but white. Please can you help me. It’s a very important call
            </p>"
1 star: Bad,"<p class=""review-content__text"">
                The worst service I’ve ever had. They took my unused money off claiming that the offer “expired” 72 hours after the purchase was done!! Request #2059182. I do not recommend this company, they don’t have a real customer service!! If you are looking for a company to make international calls you better think of a local company, not a company abroad that doesn’t respect and value a client!! Now I have to dispute my money ($30) through my credit card company, forget about Maja, Mark Louie or any other “agent”, they are gonna waste your time!!!
            </p>"
3 stars: Average,Good service I like it
5 stars: Excellent,"<p class=""review-content__text"">
                Obey the government. Wash your hands properly. Try and eat healthy meals.
            </p>"
3 stars: Average,"<p class=""review-content__text"">
                In OnePlus 6 when I dial a International Number it prompts to use Rebtel only when the App is Open else it dials normally without any prompt to dial from Rebtel App
            </p>"
1 star: Bad,"<p class=""review-content__text"">
                Can we call to srilanka to any number from uk for 1£ 20 minutes?
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Its a wonderful service! I love it! It's great to call my sister in Scotland using this so very well priced service!
            </p>"
5 stars: Excellent,Very high quality voice calls
5 stars: Excellent,"<p class=""review-content__text"">
                Value for money, and quality calls whatever country called
            </p>"
4 stars: Great,I recommend highly Rebtel services
5 stars: Excellent,It works well
5 stars: Excellent,"<p class=""review-content__text"">
                My husband told me about it and I was not too enthusiastic but resulted very easy and more economical than others, highly recommended
            </p>"
4 stars: Great,"<p class=""review-content__text"">
                Is a great application. I'm using this application here in France the process of swapping to phone is marvelous.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Good rates and quality
            </p>"
4 stars: Great,"<p class=""review-content__text"">
                Rebtel is a reliable voice communications company with the quality of service that I could recommend it to Africans worldwide talking home. My honest opinion looking forward to reviewing the price to African countries where I think its marketing needed the most by African Diasporas.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Rebtel is amazing, I’ve been using Rebtel for probably over 5-7 years. Very easy to use and set up, cost effective, sometimes I add £7 but this lasts for a good 3-4 months sometimes even long as 6months (obviously depending on your usage) I make frequent calls abroad to my parents.<br>The other great feature they have is if you send the link to a friend and they join then you automatically get a top up too.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                I use Global Unlimited to make at least 20+ hours worth of calls to the US, Canada and Australia each month for my small side business. I've never had any issues and the call quality is great. It's an absolute bargain for only £5, highly recommend
            </p>"
4 stars: Great,"<p class=""review-content__text"">
                Bought a new customer package for £5 for 60 minutes, which is pretty good! The queries I had subsequently were quickly responded to by the support team. Hopefully going forward other calls will also be affordable once my £5 package runs out!
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Excellent sound quality mobile to mobile to South Africa from Australia, as good as a local call.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                One of the best apps there for making international calls, cheap, easy, seamless...simply the best.
            </p>"
5 stars: Excellent,Rebtel is good and easy to use
1 star: Bad,"<p class=""review-content__text"">
                They should get no star if an option. I removed their app from my phone and deleted my credit card # from their auto charge in 2019. They acknowledged my cc was removed in 2019 and yet I was charged in April 2020 for service I wasn't even near Using. I kept emailing them to have their IT checked out from what # the calls werre made from and to check their records and give me my money back. They refused to do do and yet today I got an email saying “ your service is restricted” what service????? You already acknowledged I discontinued service back in 2019 but you managed to retrieve a card I removed from authorization. This company is ripping people. Im about to report them to BBB and RIP OFF. COM. If they dont fix soon.
            </p>"
4 stars: Great,"<p class=""review-content__text"">
                its good value for money however the offline calling feature doesnt seem to work.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Rebtel helped me in talking with my family and in my own country
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Was easier using Rebtel and the pricing was so cool.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                I love it cos there was no hustle to connect to it and once you do connect the phone line is so clear and can talk without noisy backgrounds or internet interruptions that you get from other carriers <br>it is also cheap way to connect around the world.
            </p>"
5 stars: Excellent,Good product
5 stars: Excellent,"<p class=""review-content__text"">
                Great application
            </p>"
1 star: Bad,"<p class=""review-content__text"">
                Yooo! Funny that on 2020 they haven't come up with negative star ratings. Some companies deserve them actually, and Rebtel is one of them.<br>Stay away from this company. They will not only lose you money, but will make you lose your patience as well.<br><br>Big shout out to Customer Support.<br>They come up with the most idiotic questions and answers most of the time and they don't even do they job properly so you have to repeat your self...for ever!<br>Still, nothing personal, I bet they(the staff) get paid with cigarettes and plastic pearls, that might be the reason they care so much about their job. <br>Their names are not even real. A company that provides ""VOIP communication services &amp; international calls"" services and they don't even have a phone line customer support? Well we all know that's a classic from low quality to scamming services.<br><br>A team with a great imagination tho...but on how to take your money with out doing any job or providing actual service that they highly advertise.<br><br>Stay away from them, unless you would like to acknowledge them as a charity and give them money for free.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Easy to use and good value for 💰
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                I'm very happy with Rebtel. The app is very easy to use, all information are clearly provided on website same as on app. Everything is working very well. Definitely I recommend to everyone :)
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Straightforward and easy to use. Clear reception and connects fast. Value for money.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Good service especially network wise. Calls so clear.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Easy to set up and use. Quality of connection great
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                I have tried different types of international calling methods with great disappointment.  I am very happy with this, because exceed my expectations
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Good connection, not too pricey and a slick design. Best online-to-landline service I've found yet. <br><br>Nice with the introduction credit points, which was what made me try it in the first place.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Beautiful app all round very user friendly and pricing is most affordable , Love it
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Great app. Great Service. <br>Works everywhere and was always able to reach everyone in other countries. Could get a lot of work done thanks to this app.
            </p>"
2 stars: Poor,"<p class=""review-content__text"">
                to: Rebtel team<br><br>To continue my complain here in Trustpilot 4th of April, responded here 5th of April, and settled 19th of April; <br><br>Gd morning,<br><br>I've got confirmation that EUR 12 already arrived back in my account, Thank you.<br><br>Unfortunately, before received back my money for the product/service not use; I had to do e x t r a  e f f o r t s  + e x t r a  p a t i e n c e (= 8 continous days sent dozen emails with multiple ""cc"", and some emails have to be sent 3 times before receive an answer, have to write in Trustpilot, etc, etc) <br><br>To avoid same case, may I suggest you not to charge your (future) customer, for the product/service that could not be used,  =because of the quality of product/service/ call/connection you deliver, is not functioned=<br><br>It is common that a product/service may  functioned in s o m e  c o u n t r i e s /area, but n o t  f u n c t i o n e d  w e l l  i n  a l l  c o u n t r i e s.<br><br>Hence, it is your duty as vendor, to a s k  your customer, m a k e  s u r e your product is functioned and well accepted by (future) customer,  -b  e  f  o  r  e-  you charged it, and it becomes a valid transaction.<br><br>I think I don't have to advise you to find out how your competitors do for this matter.<br><br>But if you need it, I suggest you to do so.<br><br>cordially,<br> V
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                I had been using calling cards or PINs for a while to call Canada from Spain, and they always expired or ran out of credit way before they were supposed to. I'm really happy with Rebtel, the quality of the calls has been great, and it's also inexpensive and easy to use.
            </p>"
4 stars: Great,"<p class=""review-content__text"">
                How many minutes in India unlimited plan
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                It's very easy to use and the low rate also the network is very working well.
            </p>"
5 stars: Excellent,excellent service
5 stars: Excellent,"<p class=""review-content__text"">
                Very easy to instal and use ..very satisfied
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                I've only used the App for about 1 month now, and for top up international phone data, the start up is easy to follow up the onscreen directions, the exchange rate is acceptable, the transfer is fast.<br>I'm very satisfied with the App, nothing to complain at the moment.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                First time to use and got 10 minutes worth of a clear call for £1! Brilliant service, will be using again and again. Thank you!
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Very easy to start and the prices are reasonable. Very clear communication.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Very easy setup good service no down time as yet
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                I have no regret using Rebtel. They are affordable and the calls are amazingly very clear
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                It’s easy to use and the price is very reasonable.
            </p>"
4 stars: Great,"<p class=""review-content__text"">
                Rebtel is very good calling option. Voice quality is great. It is very easy to use also. I would recomend this for everyone who wants to stay connected with family abroad
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Awesome experience with Rebtel, I’ve used other apps but this by far the best so far when it comes to getting best international call experience for a cheaper price.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Great experience with rebtel. Cheap prices and nice quality calls are provided. Overall, enjoying Rebtel
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Rebtel saved me from embarrassment when my skype was acting out. I have decided to use even the premium version
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                The best thing to use when you are overseas very great
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Best application .
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Rebtel is reliable, affordable and have a wonderful low rates. I personally think rebtel is the best among the best.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Easy to download the app allow access to contacts, nice clear line always and good value for money. Thank you!
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                It was really easy to use, and the pricing is exact and fair.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Excellent service with great rates to Nigeria. I stumbled upon Rebtel by accident and the service has been amazing. Thank you.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Best app for calling Internationally.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Quality service
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                great service to phone my friends and relatives in Germany at low rate
            </p>"
1 star: Bad,"<p class=""review-content__text"">
                garbage call quality even it shows my wifi good but when it connects it gives interruptions
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                The usability is perfect. You can not do any mistake. It is exactly what I needed for an amazing price.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Ease of use. <br>Effective Responsiveness. <br>Reliability.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Rebtel is the best app to make calls. No network disruption and good customer care services
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                it's good and clear voice<br>and excellent
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                I love it it keep me connected to my family in Uganda
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Very cheap and easy to use. Love this app.
            </p>"
1 star: Bad,"<p class=""review-content__text"">
                this is a scammer. they say 30 minutes call to philippines is only 1 euro but when i call thru the rebtel apps for 15 minutes  my credit  of 17 euros with  WIND was  consumed. such a bad experience.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                This is the best service that I’ve used for international calling I love it!
            </p>"
5 stars: Excellent,Easy and  simply convenient
5 stars: Excellent,"<p class=""review-content__text"">
                It is a very useful service everyone who has someone abroad should try.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Very nice and clear sound quality , doesn’t drop calls and excellent customer service . Undoubtedly good choice and every penny worth.Highly recommend it.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Rebtel is a great top up company I been using them for about 6 months for mobile top for cuba prices are great
            </p>"
5 stars: Excellent,Excellent service with value for money
5 stars: Excellent,Calls are very direct.
5 stars: Excellent,"<p class=""review-content__text"">
                Such a great app that offers me all that I need for my international calls. I'd recommend for everyone.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Rebel makes international calling very easy and straight forward.
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                Honestly I found Rebtel as i strol down in my Facebook page one day,<br>I listed to my calender so that i couled verify it Weather its was just a passing advertisment post .<br>So , after several Times i got  difficulties to connect with my dear mum calling me then and now. Not knowing that i was looking a better solution to reach her back .<br>It took me long time to reach her but she tought i was in danger nor Ignorinig as she had i was unavailable in my social network <br>i search Rebtel  back&amp; downloded to make sure sh3 hears from me.<br>Since that day i came cross the conculution. <br>THANKS. #REBTEL
            </p>"
5 stars: Excellent,"<p class=""review-content__text"">
                The service is very good , you just have to pay 1 euro and get 30 minutes call wow that is so good, I have been using my 30 minutes to call and talk as I like, I think you guys should also try it and you will enjoy it.
            </p>"
5 stars: Excellent,The best and cheapest way to call abroad
5 stars: Excellent,"<p class=""review-content__text"">
                good app with the best price. Very comfortable and good conetion
            </p>"
5 stars: Excellent,They are very good
